ZoneID0,AgeID,NumChildID,Val
161000,6,1,1805
161000,6,2,2400
161000,6,3,711
161000,7,0,2561
161000,7,1,352
161000,7,2,106
161000,7,3,22
161000,8,0,2071
161000,8,1,19
161000,8,2,2
161000,8,3,3
161000,9,0,1617
161000,9,1,1
161000,9,2,1
161000,10,0,625
163000,1,0,1
163000,1,1,627
163000,1,2,1410
163000,1,3,623
163000,2,0,8
163000,2,1,413
163000,2,2,1403
163000,2,3,840
163000,3,0,14
163000,3,1,252
163000,3,2,526
163000,3,3,270
163000,4,0,984
163000,4,1,595
163000,4,2,515
163000,4,3,245
163000,5,0,1249
163000,5,1,231
163000,5,2,105
163000,5,3,13
163000,6,0,3001
163000,6,1,2148
163000,6,2,3217
163000,6,3,1105
163000,7,0,3092
163000,7,1,473
163000,7,2,169
163000,7,3,30
163000,8,0,2877
163000,8,1,39
163000,8,2,3
163000,8,3,2
163000,9,0,1943
163000,9,1,2
163000,10,0,790
165000,1,0,5
165000,1,1,534
165000,1,2,1160
165000,1,3,702
165000,2,0,4
165000,2,1,318
165000,2,2,1146
165000,2,3,943
165000,3,0,9
165000,3,1,247
165000,3,2,465
165000,3,3,353
165000,4,0,1177
165000,4,1,563
165000,4,2,590
165000,4,3,386
165000,5,0,1347
165000,5,1,270
165000,5,2,152
165000,5,3,30
165000,6,0,2924
165000,6,1,1787
165000,6,2,2662
165000,6,3,1309
165000,7,0,2657
165000,7,1,473
165000,7,2,147
165000,7,3,33
165000,8,0,2427
165000,8,1,28
165000,8,2,5
165000,8,3,3
165000,9,0,2183
165000,9,1,1
165000,10,0,490
167000,1,0,6
167000,1,1,1205
167000,1,2,2821
167000,1,3,1185
167000,2,0,30
167000,2,1,759
167000,2,2,2514
167000,2,3,1431
167000,3,0,24
167000,3,1,476
167000,3,2,983
167000,3,3,474
167000,4,0,1858
167000,4,1,1034
167000,4,2,957
167000,4,3,448
167000,5,0,2428
167000,5,1,434
167000,5,2,194
167000,5,3,22
167000,6,0,6043
167000,6,1,4062
167000,6,2,6086
167000,6,3,2013
167000,7,0,5304
167000,7,1,863
167000,7,2,282
167000,7,3,47
167000,8,0,4791
167000,8,1,55
167000,8,2,17
167000,8,3,5
167000,9,0,3455
167000,9,1,10
167000,9,2,1
167000,10,0,1126
169000,1,0,10
169000,1,1,1459
169000,1,2,2636
169000,1,3,1195
169000,2,0,11
169000,2,1,643
169000,2,2,2266
169000,2,3,1524
169000,3,0,30
169000,3,1,438
169000,3,2,934
169000,3,3,586
169000,4,0,1951
169000,4,1,1012
169000,4,2,889
169000,4,3,552
169000,5,0,3027
169000,5,1,700
169000,5,2,277
169000,5,3,33
169000,6,0,7497
169000,6,1,4183
169000,6,2,5529
169000,6,3,2095
169000,7,0,5321
169000,7,1,738
169000,7,2,268
169000,7,3,76
169000,8,0,4569
169000,8,1,56
169000,8,2,11
169000,8,3,3
169000,9,0,3801
169000,9,1,4
169000,9,2,1
169000,10,0,933
173000,1,0,10
173000,1,1,1010
173000,1,2,2662
173000,1,3,1118
173000,2,0,11
173000,2,1,692
173000,2,2,2713
173000,2,3,1634
173000,3,0,28
173000,3,1,504
173000,3,2,1119
173000,3,3,587
173000,4,0,3378
173000,4,1,1030
173000,4,2,1045
173000,4,3,467
173000,5,0,3530
173000,5,1,281
173000,5,2,82
173000,5,3,7
173000,6,0,5454
173000,6,1,3607
173000,6,2,6371
173000,6,3,2183
173000,7,0,5591
173000,7,1,1228
173000,7,2,507
173000,7,3,105
173000,8,0,5610
173000,8,1,88
173000,8,2,19
173000,8,3,3
173000,9,0,4132
173000,9,1,8
173000,9,2,2
173000,10,0,1618
175000,1,0,8
175000,1,1,1074
175000,1,2,2155
175000,1,3,920
175000,2,0,13
175000,2,1,542
175000,2,2,1871
175000,2,3,1147
175000,3,0,20
175000,3,1,339
175000,3,2,701
175000,3,3,408
175000,4,0,1386
175000,4,1,799
175000,4,2,661
175000,4,3,365
175000,5,0,2099
175000,5,1,402
175000,5,2,160
175000,5,3,20
175000,6,0,5177
175000,6,1,3210
175000,6,2,4539
175000,6,3,1552
175000,7,0,4499
175000,7,1,646
175000,7,2,194
175000,7,3,45
175000,8,0,3801
175000,8,1,34
175000,8,2,4
175000,8,3,3
175000,9,0,2700
175000,9,1,4
175000,10,0,1065
183000,1,0,2
183000,1,1,573
183000,1,2,1010
183000,1,3,634
183000,2,0,13
183000,2,1,285
183000,2,2,853
183000,2,3,856
183000,3,0,13
183000,3,1,177
183000,3,2,343
183000,3,3,315
183000,4,0,940
183000,4,1,465
183000,4,2,411
183000,4,3,282
183000,5,0,1164
183000,5,1,289
183000,5,2,112
183000,5,3,25
183000,6,0,3059
183000,6,1,1711
183000,6,2,2101
183000,6,3,1162
183000,7,0,2344
183000,7,1,362
183000,7,2,107
183000,7,3,18
183000,8,0,1970
183000,8,1,24
183000,8,2,4
183000,8,3,1
183000,9,0,1527
183000,9,1,2
183000,10,0,302
185000,1,0,5
185000,1,1,896
185000,1,2,2296
185000,1,3,918
185000,2,0,5
185000,2,1,592
185000,2,2,2196
185000,2,3,1084
185000,3,0,13
185000,3,1,428
185000,3,2,876
185000,3,3,384
185000,4,0,864
185000,4,1,892
185000,4,2,751
185000,4,3,326
185000,5,0,1410
185000,5,1,277
185000,5,2,134
185000,5,3,26
185000,6,0,4568
185000,6,1,3278
