ZoneID0,AgeID,FamID,Val
479000,10,1,1153
479000,10,2,508
480000,1,1,281
480000,1,2,1945
480000,2,1,462
480000,2,2,1866
480000,3,1,279
480000,3,2,887
480000,4,1,608
480000,4,2,1148
480000,5,1,567
480000,5,2,685
480000,6,1,2566
480000,6,2,6624
480000,7,1,1260
480000,7,2,3295
480000,8,1,1026
480000,8,2,2769
480000,9,1,1040
480000,9,2,1677
480000,10,1,505
480000,10,2,236
482000,1,1,100
482000,1,2,491
482000,2,1,178
482000,2,2,543
482000,3,1,88
482000,3,2,240
482000,4,1,218
482000,4,2,368
482000,5,1,193
482000,5,2,217
482000,6,1,1118
482000,6,2,1974
482000,7,1,738
482000,7,2,1365
482000,8,1,832
482000,8,2,1562
482000,9,1,674
482000,9,2,912
482000,10,1,420
482000,10,2,153
492000,1,1,36
492000,1,2,258
492000,2,1,80
492000,2,2,287
492000,3,1,32
492000,3,2,136
492000,4,1,175
492000,4,2,115
492000,5,1,129
492000,5,2,59
492000,6,1,481
492000,6,2,885
492000,7,1,383
492000,7,2,715
492000,8,1,369
492000,8,2,732
492000,9,1,408
492000,9,2,451
492000,10,1,200
492000,10,2,77
510000,1,1,572
510000,1,2,3583
510000,2,1,874
510000,2,2,3428
510000,3,1,495
510000,3,2,1597
510000,4,1,1691
510000,4,2,2309
510000,5,1,1340
510000,5,2,1446
510000,6,1,4989
510000,6,2,11407
510000,7,1,2434
510000,7,2,5847
510000,8,1,2144
510000,8,2,4703
510000,9,1,1963
510000,9,2,2963
510000,10,1,1110
510000,10,2,458
530000,1,1,250
530000,1,2,2033
530000,2,1,396
530000,2,2,1846
530000,3,1,227
530000,3,2,826
530000,4,1,768
530000,4,2,1113
530000,5,1,623
530000,5,2,726
530000,6,1,2345
530000,6,2,6213
530000,7,1,1005
530000,7,2,2758
530000,8,1,853
530000,8,2,2162
530000,9,1,846
530000,9,2,1323
530000,10,1,513
530000,10,2,195
540000,1,1,863
540000,1,2,4538
540000,2,1,1261
540000,2,2,4428
540000,3,1,675
540000,3,2,2032
540000,4,1,2585
540000,4,2,2982
540000,5,1,1819
540000,5,2,1690
540000,6,1,6596
540000,6,2,15035
540000,7,1,3185
540000,7,2,7864
540000,8,1,2677
540000,8,2,6324
540000,9,1,2906
540000,9,2,4516
540000,10,1,1657
540000,10,2,747
550000,1,1,336
550000,1,2,2433
550000,2,1,579
550000,2,2,2228
550000,3,1,284
550000,3,2,1012
550000,4,1,1007
550000,4,2,1429
550000,5,1,775
550000,5,2,904
550000,6,1,3018
550000,6,2,7054
550000,7,1,1677
550000,7,2,4266
550000,8,1,1546
550000,8,2,3765
550000,9,1,1358
550000,9,2,2090
550000,10,1,802
550000,10,2,315
561000,1,1,1400
561000,1,2,8300
561000,2,1,1892
561000,2,2,7018
561000,3,1,990
561000,3,2,2968
561000,4,1,4480
561000,4,2,5132
561000,5,1,3481
561000,5,2,3835
561000,6,1,10792
561000,6,2,24040
561000,7,1,4812
561000,7,2,11146
561000,8,1,4215
561000,8,2,9220
561000,9,1,3895
561000,9,2,5446
561000,10,1,1882
561000,10,2,814
563000,1,1,22
563000,1,2,196
563000,2,1,56
563000,2,2,185
563000,3,1,29
563000,3,2,92
563000,4,1,50
