ZoneID0,AgeID,IncomeID,Val
167000,8,0,76
167000,8,1,152
167000,8,2,1661
167000,8,3,1663
167000,8,4,807
167000,8,5,292
167000,8,6,103
167000,8,7,48
167000,8,8,26
167000,8,9,26
167000,8,10,14
167000,9,0,30
167000,9,1,79
167000,9,2,1647
167000,9,3,1125
167000,9,4,445
167000,9,5,94
167000,9,6,27
167000,9,7,11
167000,9,8,7
167000,9,9,0
167000,9,10,0
167000,10,0,10
167000,10,1,26
167000,10,2,535
167000,10,3,366
167000,10,4,145
167000,10,5,30
167000,10,6,9
167000,10,7,4
167000,10,8,2
167000,10,9,0
167000,10,10,0
169000,1,0,5300
169000,1,1,0
169000,1,2,0
169000,1,3,0
169000,1,4,0
169000,1,5,0
169000,1,6,0
169000,1,7,0
169000,1,8,0
169000,1,9,0
169000,1,10,0
169000,2,0,4444
169000,2,1,0
169000,2,2,0
169000,2,3,0
169000,2,4,0
169000,2,5,0
169000,2,6,0
169000,2,7,0
169000,2,8,0
169000,2,9,0
169000,2,10,0
169000,3,0,630
169000,3,1,1358
169000,3,2,0
169000,3,3,0
169000,3,4,0
169000,3,5,0
169000,3,6,0
169000,3,7,0
169000,3,8,0
169000,3,9,0
169000,3,10,0
169000,4,0,0
169000,4,1,2085
169000,4,2,1524
169000,4,3,627
169000,4,4,136
169000,4,5,32
169000,4,6,0
169000,4,7,0
169000,4,8,0
169000,4,9,0
169000,4,10,0
169000,5,0,189
169000,5,1,435
169000,5,2,1051
169000,5,3,1443
169000,5,4,656
169000,5,5,188
169000,5,6,55
169000,5,7,15
169000,5,8,0
169000,5,9,5
169000,5,10,0
169000,6,0,939
169000,6,1,1120
169000,6,2,3403
169000,6,3,5797
169000,6,4,3952
169000,6,5,2036
169000,6,6,977
169000,6,7,466
169000,6,8,237
169000,6,9,194
169000,6,10,183
169000,7,0,222
169000,7,1,250
169000,7,2,1193
169000,7,3,1958
169000,7,4,1390
169000,7,5,696
169000,7,6,329
169000,7,7,152
169000,7,8,77
169000,7,9,76
169000,7,10,60
169000,8,0,52
169000,8,1,167
169000,8,2,1719
169000,8,3,1462
169000,8,4,716
169000,8,5,278
169000,8,6,130
169000,8,7,59
169000,8,8,19
169000,8,9,19
169000,8,10,18
169000,9,0,56
169000,9,1,119
169000,9,2,1772
169000,9,3,1095
169000,9,4,526
169000,9,5,156
169000,9,6,44
169000,9,7,15
169000,9,8,9
169000,9,9,6
169000,9,10,8
169000,10,0,14
169000,10,1,29
169000,10,2,434
169000,10,3,268
169000,10,4,129
169000,10,5,38
169000,10,6,11
169000,10,7,4
169000,10,8,2
169000,10,9,2
169000,10,10,2
173000,1,0,4800
173000,1,1,0
173000,1,2,0
173000,1,3,0
173000,1,4,0
173000,1,5,0
173000,1,6,0
173000,1,7,0
173000,1,8,0
173000,1,9,0
173000,1,10,0
173000,2,0,5050
173000,2,1,0
173000,2,2,0
173000,2,3,0
173000,2,4,0
173000,2,5,0
173000,2,6,0
173000,2,7,0
173000,2,8,0
173000,2,9,0
173000,2,10,0
173000,3,0,1156
173000,3,1,1082
173000,3,2,0
173000,3,3,0
173000,3,4,0
173000,3,5,0
173000,3,6,0
173000,3,7,0
173000,3,8,0
173000,3,9,0
173000,3,10,0
173000,4,0,0
173000,4,1,3626
173000,4,2,1821
173000,4,3,392
173000,4,4,65
173000,4,5,16
173000,4,6,0
173000,4,7,0
173000,4,8,0
173000,4,9,0
173000,4,10,0
173000,5,0,431
173000,5,1,666
173000,5,2,1054
173000,5,3,882
173000,5,4,554
173000,5,5,221
173000,5,6,53
173000,5,7,19
173000,5,8,9
173000,5,9,6
173000,5,10,5
173000,6,0,1151
173000,6,1,787
173000,6,2,1651
173000,6,3,3018
173000,6,4,3007
173000,6,5,2546
173000,6,6,1609
173000,6,7,1069
173000,6,8,769
173000,6,9,822
173000,6,10,1186
173000,7,0,399
173000,7,1,298
173000,7,2,738
173000,7,3,1468
173000,7,4,1417
173000,7,5,993
173000,7,6,623
173000,7,7,421
173000,7,8,265
173000,7,9,317
173000,7,10,492
173000,8,0,172
173000,8,1,244
173000,8,2,1330
173000,8,3,1645
173000,8,4,1026
173000,8,5,536
173000,8,6,284
173000,8,7,158
173000,8,8,100
173000,8,9,81
173000,8,10,144
173000,9,0,91
173000,9,1,135
173000,9,2,1339
173000,9,3,1206
173000,9,4,702
173000,9,5,308
173000,9,6,149
173000,9,7,78
173000,9,8,45
173000,9,9,34
173000,9,10,54
173000,10,0,36
173000,10,1,53
173000,10,2,523
173000,10,3,471
173000,10,4,274
173000,10,5,121
173000,10,6,58
173000,10,7,31
173000,10,8,18
173000,10,9,13
173000,10,10,21
175000,1,0,4157
175000,1,1,0
175000,1,2,0
175000,1,3,0
175000,1,4,0
175000,1,5,0
175000,1,6,0
175000,1,7,0
175000,1,8,0
175000,1,9,0
175000,1,10,0
175000,2,0,3573
175000,2,1,0
175000,2,2,0
175000,2,3,0
175000,2,4,0
175000,2,5,0
175000,2,6,0
175000,2,7,0
175000,2,8,0
175000,2,9,0
175000,2,10,0
175000,3,0,366
175000,3,1,1102
175000,3,2,0
175000,3,3,0
175000,3,4,0
175000,3,5,0
175000,3,6,0
175000,3,7,0
175000,3,8,0
175000,3,9,0
175000,3,10,0
175000,4,0,0
175000,4,1,1485
175000,4,2,1195
175000,4,3,451
175000,4,4,62
175000,4,5,18
175000,4,6,0
175000,4,7,0
175000,4,8,0
175000,4,9,0
175000,4,10,0
175000,5,0,105
175000,5,1,269
175000,5,2,754
175000,5,3,951
175000,5,4,406
175000,5,5,133
175000,5,6,45
175000,5,7,11
175000,5,8,0
175000,5,9,7
175000,5,10,0
175000,6,0,587
175000,6,1,669
175000,6,2,2055
175000,6,3,3928
175000,6,4,3268
175000,6,5,1868
175000,6,6,926
175000,6,7,481
175000,6,8,260
175000,6,9,217
175000,6,10,219
175000,7,0,175
175000,7,1,196
175000,7,2,868
175000,7,3,1730
175000,7,4,1210
175000,7,5,604
175000,7,6,273
175000,7,7,139
175000,7,8,74
175000,7,9,65
175000,7,10,50
175000,8,0,48
175000,8,1,126
175000,8,2,1281
175000,8,3,1334
175000,8,4,638
175000,8,5,239
